product_id,product_name,category,sub_category,brand,cost_price,selling_price,supplier,margin_pct
PRD00001,Lenovo Cables & Accessories 8094,Electronics,Cables & Accessories,Lenovo,31358.62,46946.87,Supplier_447,0.332
PRD00002,Apple Smartphones 4808,Electronics,Smartphones,Apple,11776.77,16507.12,Supplier_117,0.2866
PRD00003,Dell Laptops 1746,Electronics,Laptops,Dell,48917.97,70313.41,Supplier_228,0.3043
PRD00004,LG Tablets 1019,Electronics,Tablets,LG,45176.03,49766.63,Supplier_151,0.0922
PRD00005,Lenovo Smart Watches 6851,Electronics,Smart Watches,Lenovo,21562.81,25762.66,Supplier_290,0.163
PRD00006,OnePlus Tablets 6367,Electronics,Tablets,OnePlus,8794.71,12017.63,Supplier_318,0.2682
PRD00007,HP Cameras 7655,Electronics,Cameras,HP,45645.81,52367.86,Supplier_327,0.1284
PRD00008,HP Headphones 7722,Electronics,Headphones,HP,12803.57,13884.41,Supplier_462,0.0778
PRD00009,OnePlus Headphones 9726,Electronics,Headphones,OnePlus,3739.4,5699.82,Supplier_154,0.3439
PRD00010,LG Cables & Accessories 6402,Electronics,Cables & Accessories,LG,22868.95,27945.79,Supplier_437,0.1817
PRD00011,Apple Gaming 9517,Electronics,Gaming,Apple,11898.42,16048.63,Supplier_152,0.2586
PRD00012,Samsung Headphones 4597,Electronics,Headphones,Samsung,48898.33,67937.78,Supplier_005,0.2802
PRD00013,HP Smartphones 3870,Electronics,Smartphones,HP,41650.3,62657.85,Supplier_311,0.3353
PRD00014,Sony Smart Watches 2340,Electronics,Smart Watches,Sony,31849.06,43691.14,Supplier_322,0.271
PRD00015,Samsung Laptops 9595,Electronics,Laptops,Samsung,15481.2,19927.2,Supplier_187,0.2231
PRD00016,Apple Tablets 6907,Electronics,Tablets,Apple,45485.91,56109.51,Supplier_090,0.1893
PRD00017,OnePlus Cameras 6094,Electronics,Cameras,OnePlus,39336.31,58687.28,Supplier_272,0.3297
PRD00018,OnePlus Headphones 7994,Electronics,Headphones,OnePlus,12885.66,18911.05,Supplier_496,0.3186
PRD00019,Lenovo Headphones 1333,Electronics,Headphones,Lenovo,40221.42,52292.5,Supplier_073,0.2308
