store_id,store_name,store_type,city,state,region,store_size_sqft,opening_date,is_active
STR0001,Delhi Standalone 1,Mall Outlet,Delhi,Delhi,North,21952,2011-01-24,1
STR0002,Delhi Flagship 2,Superstore,Delhi,Delhi,North,8314,2012-12-04,1
STR0003,Delhi Superstore 3,Mall Outlet,Delhi,Delhi,North,20349,2016-01-01,1
STR0004,Delhi Flagship 4,Mall Outlet,Delhi,Delhi,North,8623,2018-10-01,1
STR0005,Delhi Express 5,Mall Outlet,Delhi,Delhi,North,24462,2020-12-18,1
STR0006,Delhi Superstore 6,Mall Outlet,Delhi,Delhi,North,15719,2019-05-26,1
STR0007,Delhi Mall Outlet 7,Mall Outlet,Delhi,Delhi,North,23876,2016-06-09,1
STR0008,Delhi Superstore 8,Standalone,Delhi,Delhi,North,12029,2011-02-13,1
STR0009,Chandigarh Superstore 9,Express,Chandigarh,Punjab,North,12270,2019-05-26,1
STR0010,Chandigarh Flagship 10,Standalone,Chandigarh,Punjab,North,18571,2011-07-03,1
STR0011,Chandigarh Mall Outlet 11,Superstore,Chandigarh,Punjab,North,21599,2019-06-19,1
STR0012,Chandigarh Standalone 12,Superstore,Chandigarh,Punjab,North,2501,2020-04-25,1
STR0013,Chandigarh Express 13,Standalone,Chandigarh,Punjab,North,8628,2011-07-09,1
STR0014,Chandigarh Standalone 14,Superstore,Chandigarh,Punjab,North,6329,2015-06-07,1
STR0015,Chandigarh Mall Outlet 15,Mall Outlet,Chandigarh,Punjab,North,20960,2020-03-18,1
STR0016,Chandigarh Flagship 16,Mall Outlet,Chandigarh,Punjab,North,16147,2016-05-21,1
STR0017,Jaipur Superstore 17,Standalone,Jaipur,Rajasthan,North,23433,2015-01-08,1
STR0018,Jaipur Flagship 18,Standalone,Jaipur,Rajasthan,North,14145,2014-02-07,1
STR0019,Jaipur Express 19,Mall Outlet,Jaipur,Rajasthan,North,7967,2020-08-13,1
STR0020,Jaipur Flagship 20,Flagship,Jaipur,Rajasthan,North,9679,2012-04-24,1
STR0021,Jaipur Flagship 21,Express,Jaipur,Rajasthan,North,9609,2021-10-14,1
STR0022,Jaipur Express 22,Superstore,Jaipur,Rajasthan,North,12861,2013-03-17,1
STR0023,Jaipur Mall Outlet 23,Express,Jaipur,Rajasthan,North,2543,2011-03-21,1
STR0024,Jaipur Flagship 24,Express,Jaipur,Rajasthan,North,20543,2011-07-13,1
STR0025,Lucknow Superstore 25,Superstore,Lucknow,Uttar Pradesh,North,18338,2014-09-28,1
STR0026,Lucknow Standalone 26,Superstore,Lucknow,Uttar Pradesh,North,23338,2018-05-25,1
STR0027,Lucknow Superstore 27,Standalone,Lucknow,Uttar Pradesh,North,10617,2016-03-15,1
STR0028,Lucknow Standalone 28,Flagship,Lucknow,Uttar Pradesh,North,17403,2012-09-04,1
STR0029,Lucknow Mall Outlet 29,Flagship,Lucknow,Uttar Pradesh,North,20954,2013-03-12,1
STR0030,Lucknow Express 30,Superstore,Lucknow,Uttar Pradesh,North,18378,2010-10-11,1
STR0031,Lucknow Superstore 31,Mall Outlet,Lucknow,Uttar Pradesh,North,4665,2015-05-08,1
STR0032,Lucknow Express 32,Superstore,Lucknow,Uttar Pradesh,North,19591,2011-02-24,1
STR0033,Agra Express 33,Flagship,Agra,Uttar Pradesh,North,18455,2012-03-22,1
STR0034,Agra Flagship 34,Express,Agra,Uttar Pradesh,North,6410,2014-09-28,1
STR0035,Agra Mall Outlet 35,Standalone,Agra,Uttar Pradesh,North,7940,2018-12-23,1
STR0036,Agra Express 36,Flagship,Agra,Uttar Pradesh,North,14074,2020-11-12,1
STR0037,Agra Superstore 37,Standalone,Agra,Uttar Pradesh,North,15794,2011-04-08,1
STR0038,Agra Flagship 38,Mall Outlet,Agra,Uttar Pradesh,North,1689,2019-09-08,1
STR0039,Agra Superstore 39,Mall Outlet,Agra,Uttar Pradesh,North,1235,2011-12-21,1
STR0040,Agra Flagship 40,Mall Outlet,Agra,Uttar Pradesh,North,3208,2010-06-03,1
STR0041,Bengaluru Flagship 41,Mall Outlet,Bengaluru,Karnataka,South,10125,2020-08-07,1
STR0042,Bengaluru Mall Outlet 42,Express,Bengaluru,Karnataka,South,24702,2019-10-16,1
STR0043,Bengaluru Express 43,Standalone,Bengaluru,Karnataka,South,14338,2013-02-04,1
STR0044,Bengaluru Superstore 44,Superstore,Bengaluru,Karnataka,South,14879,2016-08-28,1
STR0045,Bengaluru Superstore 45,Mall Outlet,Bengaluru,Karnataka,South,2986,2016-12-11,1
STR0046,Bengaluru Mall Outlet 46,Express,Bengaluru,Karnataka,South,7278,2013-09-15,1
STR0047,Bengaluru Superstore 47,Express,Bengaluru,Karnataka,South,7012,2014-08-08,1
STR0048,Bengaluru Flagship 48,Superstore,Bengaluru,Karnataka,South,19033,2011-01-21,1
STR0049,Chennai Express 49,Express,Chennai,Tamil Nadu,South,4056,2013-03-14,1
STR0050,Chennai Express 50,Superstore,Chennai,Tamil Nadu,South,8004,2016-01-06,1
STR0051,Chennai Express 51,Flagship,Chennai,Tamil Nadu,South,13793,2014-08-10,1
STR0052,Chennai Mall Outlet 52,Standalone,Chennai,Tamil Nadu,South,22688,2021-08-05,1
STR0053,Chennai Flagship 53,Superstore,Chennai,Tamil Nadu,South,8133,2010-10-24,1
STR0054,Chennai Express 54,Flagship,Chennai,Tamil Nadu,South,11276,2010-01-19,1
STR0055,Chennai Superstore 55,Mall Outlet,Chennai,Tamil Nadu,South,18403,2012-01-17,1
STR0056,Chennai Mall Outlet 56,Express,Chennai,Tamil Nadu,South,3245,2019-02-22,1
STR0057,Hyderabad Flagship 57,Superstore,Hyderabad,Telangana,South,4928,2019-04-19,1
STR0058,Hyderabad Flagship 58,Flagship,Hyderabad,Telangana,South,21295,2011-07-22,1
STR0059,Hyderabad Standalone 59,Mall Outlet,Hyderabad,Telangana,South,18130,2015-05-07,1
STR0060,Hyderabad Standalone 60,Express,Hyderabad,Telangana,South,9703,2016-03-22,1
STR0061,Hyderabad Flagship 61,Flagship,Hyderabad,Telangana,South,11360,2011-01-15,1
STR0062,Hyderabad Flagship 62,Standalone,Hyderabad,Telangana,South,4276,2011-09-07,1
STR0063,Hyderabad Standalone 63,Standalone,Hyderabad,Telangana,South,5340,2015-02-08,1
STR0064,Hyderabad Standalone 64,Flagship,Hyderabad,Telangana,South,6169,2017-09-23,1
STR0065,Kochi Flagship 65,Standalone,Kochi,Kerala,South,22429,2018-01-22,1
STR0066,Kochi Superstore 66,Superstore,Kochi,Kerala,South,22737,2011-03-09,1
STR0067,Kochi Flagship 67,Mall Outlet,Kochi,Kerala,South,19128,2012-05-10,1
STR0068,Kochi Standalone 68,Flagship,Kochi,Kerala,South,24514,2015-04-22,1
STR0069,Kochi Express 69,Standalone,Kochi,Kerala,South,17008,2014-01-03,1
STR0070,Kochi Mall Outlet 70,Standalone,Kochi,Kerala,South,2444,2010-06-25,1
STR0071,Kochi Express 71,Flagship,Kochi,Kerala,South,6294,2021-08-18,1
STR0072,Kochi Mall Outlet 72,Flagship,Kochi,Kerala,South,1316,2011-02-23,1
STR0073,Coimbatore Mall Outlet 73,Express,Coimbatore,Tamil Nadu,South,2180,2015-10-18,1
STR0074,Coimbatore Superstore 74,Standalone,Coimbatore,Tamil Nadu,South,5176,2010-05-12,1
STR0075,Coimbatore Superstore 75,Standalone,Coimbatore,Tamil Nadu,South,7883,2020-04-22,1
STR0076,Coimbatore Mall Outlet 76,Mall Outlet,Coimbatore,Tamil Nadu,South,19346,2016-10-24,1
STR0077,Coimbatore Mall Outlet 77,Standalone,Coimbatore,Tamil Nadu,South,6324,2012-07-01,1
STR0078,Coimbatore Mall Outlet 78,Standalone,Coimbatore,Tamil Nadu,South,14491,2020-12-26,1
STR0079,Coimbatore Superstore 79,Express,Coimbatore,Tamil Nadu,South,6216,2021-02-13,1
STR0080,Coimbatore Standalone 80,Mall Outlet,Coimbatore,Tamil Nadu,South,8288,2013-08-12,1
STR0081,Mumbai Express 81,Standalone,Mumbai,Maharashtra,West,8304,2010-11-07,1
STR0082,Mumbai Flagship 82,Express,Mumbai,Maharashtra,West,10129,2011-05-12,1
STR0083,Mumbai Superstore 83,Standalone,Mumbai,Maharashtra,West,23266,2018-06-01,1
STR0084,Mumbai Superstore 84,Flagship,Mumbai,Maharashtra,West,6851,2019-05-02,1
STR0085,Mumbai Standalone 85,Express,Mumbai,Maharashtra,West,15239,2015-12-26,1
STR0086,Mumbai Flagship 86,Mall Outlet,Mumbai,Maharashtra,West,20864,2018-02-13,1
STR0087,Mumbai Superstore 87,Flagship,Mumbai,Maharashtra,West,9346,2010-12-14,1
STR0088,Mumbai Mall Outlet 88,Standalone,Mumbai,Maharashtra,West,18643,2020-12-24,1
STR0089,Pune Flagship 89,Standalone,Pune,Maharashtra,West,15132,2011-11-11,1
STR0090,Pune Flagship 90,Standalone,Pune,Maharashtra,West,22737,2011-12-10,1
STR0091,Pune Standalone 91,Flagship,Pune,Maharashtra,West,22852,2016-06-13,1
STR0092,Pune Express 92,Mall Outlet,Pune,Maharashtra,West,5170,2013-07-22,1
STR0093,Pune Flagship 93,Superstore,Pune,Maharashtra,West,21169,2019-05-13,1
STR0094,Pune Flagship 94,Flagship,Pune,Maharashtra,West,10957,2014-04-14,1
STR0095,Pune Express 95,Mall Outlet,Pune,Maharashtra,West,22453,2015-08-15,1
STR0096,Pune Superstore 96,Standalone,Pune,Maharashtra,West,17750,2017-12-06,1
STR0097,Ahmedabad Standalone 97,Superstore,Ahmedabad,Gujarat,West,17890,2020-11-20,1
STR0098,Ahmedabad Mall Outlet 98,Mall Outlet,Ahmedabad,Gujarat,West,8696,2020-05-08,1
STR0099,Ahmedabad Flagship 99,Superstore,Ahmedabad,Gujarat,West,1800,2010-04-16,1
STR0100,Ahmedabad Mall Outlet 100,Express,Ahmedabad,Gujarat,West,15923,2016-11-19,1
STR0101,Ahmedabad Superstore 101,Superstore,Ahmedabad,Gujarat,West,17199,2016-04-05,1
